Sample Name,sequences_millions
240123Chi_D24-119025_1_sequence,6.8
240123Chi_D24-119025_2_sequence,6.8
240123Chi_D24-119026_1_sequence,5.6
240123Chi_D24-119026_2_sequence,5.6
240123Chi_D24-119027_1_sequence,6.2
240123Chi_D24-119027_2_sequence,6.2
240123Chi_D24-119028_1_sequence,5.7
240123Chi_D24-119028_2_sequence,5.7
240123Chi_D24-119029_1_sequence,5.9
240123Chi_D24-119029_2_sequence,5.9
240123Chi_D24-119030_1_sequence,6.2
240123Chi_D24-119030_2_sequence,6.2
240123Chi_D24-119031_1_sequence,6.7
240123Chi_D24-119031_2_sequence,6.7
240123Chi_D24-119032_1_sequence,6.1
240123Chi_D24-119032_2_sequence,6.1
240123Chi_D24-119033_1_sequence,6.7
240123Chi_D24-119033_2_sequence,6.7
240123Chi_D24-119034_1_sequence,6.2
240123Chi_D24-119034_2_sequence,6.2
240123Chi_D24-119035_1_sequence,5.5
240123Chi_D24-119035_2_sequence,5.5
240123Chi_D24-119036_1_sequence,6.3
240123Chi_D24-119036_2_sequence,6.3
240123Chi_D24-119037_1_sequence,6.8
240123Chi_D24-119037_2_sequence,6.8
240123Chi_D24-119038_1_sequence,6.5
240123Chi_D24-119038_2_sequence,6.5
240123Chi_D24-119039_1_sequence,6.4
240123Chi_D24-119039_2_sequence,6.4
240123Chi_D24-119040_1_sequence,6.8
240123Chi_D24-119040_2_sequence,6.8
240123Chi_D24-119041_1_sequence,8
240123Chi_D24-119041_2_sequence,8
240123Chi_D24-119042_1_sequence,7.6
240123Chi_D24-119042_2_sequence,7.6
240123Chi_D24-119043_1_sequence,6.3
240123Chi_D24-119043_2_sequence,6.3
240123Chi_D24-119044_1_sequence,7
240123Chi_D24-119044_2_sequence,7
240123Chi_D24-119045_1_sequence,7.2
240123Chi_D24-119045_2_sequence,7.2
240123Chi_D24-119046_1_sequence,7.1
240123Chi_D24-119046_2_sequence,7.1
240123Chi_D24-119047_1_sequence,6
240123Chi_D24-119047_2_sequence,6
240123Chi_D24-119048_1_sequence,7.3
240123Chi_D24-119048_2_sequence,7.3
240123Chi_D24-119049_1_sequence,6.6
240123Chi_D24-119049_2_sequence,6.6
240123Chi_D24-119050_1_sequence,5.6
240123Chi_D24-119050_2_sequence,5.6
240123Chi_D24-119051_1_sequence,5.8
240123Chi_D24-119051_2_sequence,5.8
240123Chi_D24-119052_1_sequence,6.3
240123Chi_D24-119052_2_sequence,6.3
240123Chi_D24-119053_1_sequence,6.5
240123Chi_D24-119053_2_sequence,6.5
240123Chi_D24-119054_1_sequence,6.5
240123Chi_D24-119054_2_sequence,6.5
240123Chi_D24-119055_1_sequence,5.9
240123Chi_D24-119055_2_sequence,5.9
240123Chi_D24-119056_1_sequence,6.5
240123Chi_D24-119056_2_sequence,6.5
240123Chi_D24-119057_1_sequence,8.4
240123Chi_D24-119057_2_sequence,8.4
240123Chi_D24-119058_1_sequence,4.5
240123Chi_D24-119058_2_sequence,4.5
240123Chi_D24-119059_1_sequence,6.2
240123Chi_D24-119059_2_sequence,6.2
240123Chi_D24-119060_1_sequence,7.1
240123Chi_D24-119060_2_sequence,7.1
240123Chi_D24-119061_1_sequence,6.9
240123Chi_D24-119061_2_sequence,6.9
240123Chi_D24-119062_1_sequence,5.8
240123Chi_D24-119062_2_sequence,5.8
240123Chi_D24-119063_1_sequence,6
240123Chi_D24-119063_2_sequence,6
240123Chi_D24-119064_1_sequence,6.8
240123Chi_D24-119064_2_sequence,6.8
240123Chi_D24-119065_1_sequence,7.4
240123Chi_D24-119065_2_sequence,7.4
240123Chi_D24-119066_1_sequence,7.2
240123Chi_D24-119066_2_sequence,7.2
240123Chi_D24-119067_1_sequence,7
240123Chi_D24-119067_2_sequence,7
240123Chi_D24-119068_1_sequence,5.8
240123Chi_D24-119068_2_sequence,5.8
240123Chi_D24-119069_1_sequence,6.5
240123Chi_D24-119069_2_sequence,6.5
240123Chi_D24-119070_1_sequence,7.6
240123Chi_D24-119070_2_sequence,7.6
240123Chi_D24-119071_1_sequence,6.7
240123Chi_D24-119071_2_sequence,6.7
240123Chi_D24-119072_1_sequence,3.9
240123Chi_D24-119072_2_sequence,3.9
240123Chi_D24-119073_1_sequence,3.8
240123Chi_D24-119073_2_sequence,3.8