sample_name,length,genome_equivalents
D24-119025_1,1556335,0.726001396
D24-119025_2,1547322,0.721796998
D24-119026_1,959681,0.447673377
D24-119026_2,954125,0.445081606
D24-119027_1,955393,0.445673105
D24-119027_2,946377,0.441467308
D24-119028_1,956093,0.445999642
D24-119028_2,946760,0.44164597
D24-119029_1,986734,0.4602931
D24-119029_2,976183,0.455371254
D24-119030_1,840168,0.391922781
D24-119030_2,829755,0.387065309
D24-119031_1,1154388,0.538500579
D24-119031_2,1152018,0.537395018
D24-119032_1,1227425,0.572570984
D24-119032_2,1216867,0.567645873
D24-119033_1,1093199,0.509957046
D24-119033_2,1089067,0.508029545
D24-119034_1,1246100,0.581282525
D24-119034_2,1239946,0.578411799
D24-119035_1,978566,0.456482879
D24-119035_2,976138,0.455350262
D24-119036_1,1343492,0.626714086
D24-119036_2,1339651,0.624922331
D24-119037_1,1422424,0.663534399
D24-119037_2,1405344,0.655566896
D24-119038_1,1579540,0.736826098
D24-119038_2,1567978,0.731432639
D24-119039_1,1172435,0.54691917
D24-119039_2,1169370,0.545489404
D24-119040_1,2019251,0.941943119
D24-119040_2,2017651,0.941196749
D24-119041_1,1801167,0.84021098
D24-119041_2,1808004,0.843400314
D24-119042_1,1703238,0.794528919
D24-119042_2,1699593,0.792828594
D24-119043_1,2400462,1.119770976
D24-119043_2,2376556,1.108619271
D24-119044_1,1159701,0.540978995
D24-119044_2,1141713,0.532587927
D24-119045_1,1475580,0.688330687
D24-119045_2,1451380,0.677041836